epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.559,1.60456,1.2232,1.04343,0.93564,0.95647,0.97221,0.65596,1.1809,13.743,0.95054,0.000555155,0.000555155,0.000555155
2,228.183,1.09109,0.64579,0.89829,0.95625,0.96768,0.97953,0.75696,0.85243,14.5247,0.86273,0.00105584,0.00105584,0.00105584
3,333.16,0.95969,0.56145,0.87055,0.95544,0.96372,0.98783,0.79837,0.73613,13.263,0.83693,0.00150151,0.00150151,0.00150151
4,437.603,0.88935,0.52517,0.85736,0.96134,0.9702,0.98836,0.80556,0.70537,15.4113,0.83182,0.00141945,0.00141945,0.00141945
5,543.671,0.83784,0.50029,0.84783,0.97323,0.96483,0.98693,0.82434,0.63015,8.08659,0.81805,0.00133693,0.00133693,0.00133693
6,648.163,0.79931,0.48002,0.84132,0.9689,0.95731,0.98945,0.84219,0.59716,1.68764,0.81246,0.00125442,0.00125442,0.00125442
7,756.601,0.76739,0.45567,0.83662,0.98236,0.96865,0.99214,0.8551,0.56243,0.6067,0.80806,0.0011719,0.0011719,0.0011719
8,860.123,0.73798,0.44015,0.83217,0.9833,0.96881,0.99213,0.86011,0.55873,0.73709,0.80855,0.00108938,0.00108938,0.00108938
9,963.851,0.71717,0.43246,0.82876,0.97805,0.97897,0.99265,0.87061,0.53521,0.78995,0.80358,0.00100687,0.00100687,0.00100687
10,1067.7,0.69568,0.41919,0.82624,0.98249,0.98466,0.99295,0.88167,0.50867,1.2947,0.80132,0.000924352,0.000924352,0.000924352
11,1191.28,0.6121,0.39399,0.8149,0.99047,0.97029,0.99315,0.88553,0.49251,0.64306,0.79938,0.000841835,0.000841835,0.000841835
12,1289.66,0.57307,0.36685,0.80844,0.98052,0.98042,0.99299,0.89536,0.47483,0.59294,0.79731,0.000759318,0.000759318,0.000759318
13,1388.8,0.5496,0.34985,0.80528,0.98479,0.98129,0.99293,0.90574,0.44242,0.30165,0.79267,0.000676802,0.000676802,0.000676802
14,1486.93,0.52804,0.33864,0.80229,0.99017,0.99095,0.99369,0.90874,0.42637,0.29487,0.79004,0.000594286,0.000594286,0.000594286
15,1584.91,0.51097,0.32684,0.80026,0.99137,0.99133,0.99379,0.91733,0.41992,0.63317,0.79057,0.000511769,0.000511769,0.000511769
16,1683.56,0.49019,0.31254,0.79817,0.99249,0.99156,0.9932,0.91761,0.40721,0.27339,0.78894,0.000429253,0.000429253,0.000429253
17,1781.25,0.47444,0.29857,0.79633,0.99453,0.99227,0.99389,0.92709,0.39036,0.26514,0.78761,0.000346736,0.000346736,0.000346736
18,1880.52,0.45671,0.29002,0.79395,0.99646,0.99693,0.99404,0.93161,0.38026,0.25632,0.78656,0.00026422,0.00026422,0.00026422
19,1978.73,0.44324,0.2835,0.79292,0.9959,0.99606,0.99397,0.93344,0.36963,0.2509,0.78499,0.000181703,0.000181703,0.000181703
20,2076.54,0.42762,0.27422,0.79094,0.99708,0.99766,0.99406,0.93963,0.35896,0.2454,0.78458,9.91865e-05,9.91865e-05,9.91865e-05
